codigo,n_obs,combined,qs_p,fried_p,kw_p,wo,seasdum_p,ocsb_stat,Q,M7,qs_sa_x11,qs_sa_seats,l3_x11,l3_seats,metodo,razao,status
20692,184,Present,5.2910043736309476e-6,2.8791007466999474e-8,8.971967613291554e-10,TRUE,6.950798236982081e-8,-7.963187912355591,0.8967812007839921,0.6455440265529344,1,1,0.562663646211411,0.0474537730654151,x11,SEATS falha nos últimos 3 anos,ajustada
20693,184,ProbablyNone,0.05288586149068564,8.872808331671367e-4,4.8773300628690563e-5,TRUE,6.899350020752593e-4,-9.70699533007631,1.3303574717053255,1.219546478324903,1,0.853051002546964,0.481636766633256,0.542048501934797,nenhum,teste combinado: ProbablyNone,sem_sazonalidade
20694,184,Present,0,1.7152254283558932e-8,1.9372811133067103e-9,TRUE,0,-5.2754991851527935,0.7780509928320611,0.44994389770199195,1,1,0.878215674224995,0.886932706469705,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20695,184,ProbablyNone,0.07339736794076746,0.001932881154974364,0.003927849640137704,FALSE,0.0027628336903647854,-7.659713810481477,1.780726024660007,1.2235512804062916,1,0.150159541431484,0.792408523123971,0.291293363827631,nenhum,teste combinado: ProbablyNone,sem_sazonalidade
20696,184,Present,0,1.3544863008974062e-8,5.916025447305628e-10,TRUE,0,-5.232037421724008,1.161038685409018,0.4291278876073925,1,1,0.913812150631283,0.92550855012887,seats,"Q = 1.16 > 1, decomposição X-11 fraca",ajustada
20697,184,Present,1.079039412557048e-4,1.0354427393943766e-4,1.4473778555357253e-4,TRUE,0.010333379232598361,-8.349749017163742,1.0628144762537497,0.8732410452755047,1,1,0.980606182875389,0.875723371849344,seats,"Q = 1.06 > 1, decomposição X-11 fraca",ajustada
20686,184,Present,0,2.0852497506496093e-10,7.96329668872886e-12,TRUE,0,-4.7802519657487945,0.5847696523496945,0.44193224168916134,1,1,0.774775964058247,0.999127404844509,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20699,184,Present,3.1361874178181814e-5,1.1073756356339004e-8,1.1971179192382664e-7,TRUE,0.0021065650889600107,-8.325490187634031,0.6667934158812993,0.6804816939125481,1,1,0.415176829955686,0.704145911447133,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20700,184,Present,0,0,0,TRUE,0,-3.4660028098175673,0.447807726545945,0.4031708944020913,0.959906613085762,1,0.563842440080331,0.736903882789028,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20701,184,Present,0,0,0,TRUE,0,-3.918822483120054,0.4448140291626923,0.24659183359079218,0.430406561012688,1,0.0450162045694239,0.993793021116431,seats,X-11 falha nos últimos 3 anos,ajustada
